iter	Logloss
0	0.680599707
1	0.6685474609
2	0.6572047363
3	0.6468402832
4	0.6372713867
5	0.6279962891
6	0.6191572266
7	0.6108557129
8	0.6031339355
9	0.5960547852
10	0.5890551758
11	0.5825379395
12	0.5764325195
13	0.5705916016
14	0.5652606445
15	0.5601192871
16	0.555295459
17	0.5508010742
18	0.5464756348
19	0.5423108398
20	0.5383935547
21	0.5348344238
22	0.5314064453
23	0.5281597168
24	0.5251643555
25	0.5223237305
26	0.5197165039
27	0.5172536133
28	0.5149403809
29	0.5126887695
30	0.5106716797
31	0.5086217285
32	0.5066648437
33	0.504846582
34	0.5031628906
35	0.5015568359
36	0.4999757324
37	0.4986328125
38	0.4972077637
39	0.4959380371
40	0.4947861816
41	0.4936351074
42	0.4925444824
43	0.4915921875
44	0.4906141602
45	0.4897049316
46	0.4888445312
47	0.4880352051
48	0.4873118164
49	0.486523877
50	0.4858300293
51	0.4852011719
52	0.4846505859
53	0.4840536133
54	0.4834783203
55	0.4829446289
56	0.4823984863
57	0.4819140625
58	0.4814552734
59	0.4810303711
60	0.480624707
61	0.4802112793
62	0.4798458496
63	0.4794874023
64	0.4791394531
65	0.4788303223
66	0.4785026367
67	0.4782020996
68	0.4778762207
69	0.4775729492
70	0.4773177734
71	0.4770706055
72	0.4768509277
73	0.476617334
74	0.4763863281
75	0.4761741211
76	0.47598125
77	0.4757757812
78	0.4755932617
79	0.4754072266
80	0.4752196777
81	0.4750658203
82	0.4749064941
83	0.4747579102
84	0.4746433105
85	0.4744982422
86	0.474339209
87	0.474225
88	0.4740923828
89	0.4739705566
90	0.4738417969
91	0.4737290527
92	0.4736185059
93	0.4734772949
94	0.4733710938
95	0.4732623047
96	0.4731463379
97	0.4731083984
98	0.473015332
99	0.4729205078
100	0.4728285645
101	0.472770459
102	0.4726847168
103	0.4726165527
104	0.4725307129
105	0.4724340332
106	0.4723573242
107	0.4722707031
108	0.4721762695
109	0.4720896484
110	0.4719998047
111	0.4719114258
112	0.4718522461
113	0.4717880859
114	0.4716608398
115	0.4715914063
116	0.4715416016
117	0.4714657227
118	0.4714013184
119	0.4713498535
120	0.4712699707
121	0.4712412598
122	0.4711620117
123	0.4711004883
124	0.4710472168
125	0.4710071289
126	0.4709411133
127	0.4708737793
128	0.4708135742
129	0.4707373047
130	0.4706884277
131	0.4706097656
132	0.4705326172
133	0.4704757813
134	0.4704025391
135	0.4703645996
136	0.4702848145
137	0.4702326172
138	0.4701799805
139	0.4701366211
140	0.4700546875
141	0.4699706543
142	0.4699039063
143	0.469857666
144	0.4698166992
145	0.4697459473
146	0.4697337402
147	0.469647168
148	0.4695866211
149	0.4695540039
150	0.469519873
151	0.4694760254
152	0.4694052246
153	0.4693714844
154	0.4692989258
155	0.469261084
156	0.4691965332
157	0.4690811035
158	0.4690348633
159	0.4689839844
160	0.4689541016
161	0.4688869629
162	0.4688433105
163	0.4687569336
164	0.468707959
165	0.4686407227
166	0.4685865234
167	0.4684791504
168	0.4684339355
169	0.4683827637
170	0.4683033203
171	0.4682729004
